,FYGT10,fyff_3m,fygt2_3m,fygt10_3m,Baa,EXRate,Wilsh,BAA_TB10,Auto_TB2,Mortc_tb10,BankCred,ComPapOut,Compapis_M24,TED_SPR,LIBOR_SPR,MZM,cor_e_t,Idio_bank,ppi_561_ma24,VIX,Fpers_TB,FRBSLO_1,FRBSLO_2,FRBSLO_3,SLGOV_Liab,NonFed_Liab,Priv_nfdebt,Fin_Liab,ABS_CC,ABS_mort1,ABS_mort2,BD_Leverage
1968.25,,0.0,0.0,0.0,6.84,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1968.5,0.0,0.0,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968.75,0.0,0.0,0.0,0.0,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969.25,0.0,0.0,0.0,0.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969.5,0.0,0.0,0.0,0.0,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04945717732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969.75,0.0,0.0,0.0,0.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02172636524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.25,7.79,1.11,0.0,-0.08,8.86,0.0,0.0,1.07,0.0,0.0,399.1,34.969,0.0,0.0,0.0,0.0,0.0,0.0,1.00928074246,0.0,0.0,0.0,0.0,-19.0,140.4,1060.633,920.233,9999.0,0.0,0.0,0.0,16.6297709924
1970.5,-0.4,1.59,0.0,0.88,8.7,0.0,0.0,1.31,0.0,0.0,4.3,4.265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.2,18.677,15.477,0.0,0.0,0.0,0.0,-0.870039448742
1970.75,0.07,0.76,0.0,1.01,9.4,0.0,0.0,1.94,0.0,0.0,6.4,-0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.986206896552,0.0,0.0,0.0,0.0,0.0,2.4,21.622,19.222,0.0,0.0,0.0,0.0,2.65855100485
1971.0,-0.13,0.29,0.0,1.42,9.33,0.0,0.0,2.0,0.0,0.0,13.4,-4.008,0.0,0.0,0.0,0.0,0.0,0.0,0.989619377163,0.0,0.0,0.0,0.0,27.0,4.3,19.766,15.466,0.0,0.0,0.0,0.0,3.62513671882
1971.25,-1.09,-0.3,0.0,1.8,8.74,0.0,1.05,2.5,0.0,0.0,16.2,-1.61,0.0,0.0,0.0,0.0,0.0,0.0,1.07648073606,0.0,0.0,0.0,0.0,63.0,4.4,27.443,23.043,0.0,0.0,0.0,0.0,-2.59184858667
1971.5,-0.41,0.29,0.0,1.97,8.45,0.0,0.11,2.62,0.0,1.48,13.1,-0.422,0.0,0.0,0.0,0.0,0.0,0.0,1.05643340858,0.0,0.0,0.0,0.0,41.0,4.2,25.766,21.566,0.0,0.0,0.0,0.0,-2.01604756627
